PartitionKey,RowKey,EntryDateTime,EntryDateTime@type,Date,Date@type,Hour,Hour@type,Minute,Minute@type,Command,Command@type,CommandType,CommandType@type,GuildId,GuildId@type,UserId,UserId@type
20240101,2f68bb55-a16f-45c3-8fb3-5cb12e542a0f,2024-01-01T00:48:51.6022752Z,DateTime,01-01-2024,String,00,String,48,String,feed treat,String,Slash,String,1109964875813372016,String,1148425844822376549,String
20240101,355c5d8c-a46f-4e8c-a9dd-425dcdf49d91,2024-01-01T01:02:36.2225722Z,DateTime,01-01-2024,String,01,String,02,String,play ping,String,Slash,String,1109964875813372016,String,1148425844822376549,String
20240101,362b53f2-8f27-4436-9f9c-ff5a8867d3a2,2024-01-01T01:02:10.9900441Z,DateTime,01-01-2024,String,01,String,02,String,play ping,String,Slash,String,1109964875813372016,String,1148425844822376549,String
20240101,36323225-a91d-4460-a41d-dcf8c3c3a8a4,2024-01-01T19:35:13.0336359Z,DateTime,01-01-2024,String,19,String,35,String,explain spoiler,String,Slash,String,929883358832517130,String,640231199280726058,String
20240101,3638cc55-feb1-4f36-b38a-dceb82d62840,2024-01-01T19:21:45.2631468Z,DateTime,01-01-2024,String,19,String,21,String,get toy,String,Slash,String,1191437861858328687,String,896443287974608897,String
20240101,38f014b7-e052-4e57-b5a1-01777ee81ebc,2024-01-01T23:47:04.9250686Z,DateTime,01-01-2024,String,23,String,47,String,boop,String,Slash,String,1011807625253494794,String,749975210249158666,String
20240101,3a8e7263-9968-4da3-9dbb-b8e31490cd10,2024-01-01T19:21:08.6530619Z,DateTime,01-01-2024,String,19,String,21,String,call,String,Slash,String,1191437861858328687,String,896443287974608897,String
20240101,3b042e32-d299-4466-8963-689ac20dc3af,2024-01-01T00:49:39.5998058Z,DateTime,01-01-2024,String,00,String,49,String,feed treat,String,Slash,String,1109964875813372016,String,1148425844822376549,String
20240101,3b184c4a-65f8-48e4-9155-5eb6d7bbf411,2024-01-01T23:21:34.7864225Z,DateTime,01-01-2024,String,23,String,21,String,config help,String,Slash,String,1011807625253494794,String,749975210249158666,String
20240101,3d3584d7-b123-46a1-b20f-d29358f185a1,2024-01-01T01:01:56.0260242Z,DateTime,01-01-2024,String,01,String,01,String,play ping,String,Slash,String,1109964875813372016,String,1148425844822376549,String
